#interval	max_mem_used_MB	min_mem_available_MB	max_disk_space_used_GB	max_mem_utilization_percent	max_disk_space_utilization_percent	max_cpu_utilization_percent
1	615.75390625	348.703125	5.509033203125	63.8446178832812	2.66677859494324	84.0
2	599.7890625	364.66796875	14.890625	62.1892985447609	7.20816131454812	-
3	590.51953125	373.9375	24.137451171875	61.2281845760041	11.6843075269778	-
4	605.53125	358.92578125	32.4296913146973	62.7846788793889	15.698363660178	-
5	604.9765625	359.48046875	41.3584060668945	62.7271659491051	20.0205204712872	-
6	600.80859375	363.6484375	52.7263298034668	62.295008930705	25.5234344258522	84.0
7	586.01171875	378.4453125	60.5703201293945	60.7607907622893	29.3205045702579	-
8	609.28125	355.17578125	71.056339263916	63.1734986897582	34.3965116195973	-
9	588.98828125	375.46875	80.3684234619141	61.06941648677	38.9042475322151	-
10	339.91015625	624.546875	83.9410629272461	35.2436806655299	40.6336686669784	-
11	482.7109375	481.74609375	83.9669303894043	50.0500200485215	40.6461904274843	82.0
12	481.12109375	483.3359375	84.1339416503906	49.8851766497503	40.7270362019589	-
13	463.37109375	501.0859375	84.299690246582	48.0447628806688	40.8072707534977	-
14	464.35546875	500.1015625	84.445182800293	48.1468280808907	40.8776998857346	-
15	482.546875	481.91015625	84.579418182373	50.0330091818178	40.9426797162086	-
16	466.37890625	498.078125	84.7587661743164	48.3566287702358	41.0294973788231	82.0
17	484.9921875	479.46484375	84.8884391784668	50.2865520998295	41.0922686817105	-
18	460.15625	504.30078125	85.0459175109863	47.7114308974042	41.1684998153497	-
19	460.609375	503.84765625	85.2000846862793	47.7584132911572	41.2431281045532	-
20	464.52734375	499.9296875	85.331413269043	48.164648988866	41.3067008296585	-
21	464.68359375	499.7734375	85.4710922241211	48.180849814298	41.3743157511578	82.0
22	466.7578125	497.69921875	85.6339721679688	48.3959157719086	41.4531616632776	-
23	448.8203125	515.63671875	85.7926712036133	46.5360610123086	41.5299837073079	-
24	467.53125	496.92578125	85.9187927246094	48.4761098577973	41.5910358302763	-
25	449.8125	514.64453125	86.0689430236816	46.6389362538021	41.6637196549741	-
26	468.3828125	496.07421875	86.1895980834961	48.564404356402	41.7221256073474	82.0
27	469.234375	495.22265625	86.3450317382812	48.6526988550067	41.7973669660816	-
28	451.01953125	513.4375	86.49658203125	46.7640876302648	41.8707284911341	-
29	453.55078125	510.90625	86.6341323852539	47.0265410022641	41.937313012639	-
30	453.98828125	510.46875	86.7646102905273	47.0719033134738	42.0004739470655	-
31	472.37109375	492.0859375	86.8940887451172	48.9779304255552	42.0631510736094	82.0
32	472.8203125	491.63671875	87.0386734008789	49.0245077986723	42.1331407162429	-
33	457.15625	507.30078125	87.1906623840332	47.4003750491088	42.2067145997172	-
34	457.4765625	506.98046875	87.3815422058105	47.4335867412445	42.2991145189324	-
35	457.55078125	506.90625	87.5526504516602	47.4412821333247	42.381943536407	-
36	458.2265625	506.23046875	87.7072715759277	47.5113507033183	42.4567915704121	82.0
37	476.7421875	487.71484375	87.8442344665527	49.4311485170169	42.5230917162913	-
38	458.8671875	505.58984375	88.0385665893555	47.5777740875898	42.6171628039562	-
39	459.33203125	505.125	88.2068748474121	47.6259715432501	42.6986364207213	-
40	477.7265625	486.73046875	88.3238754272461	49.5332137172389	42.7552733351114	-
41	480.51953125	483.9375	88.462532043457	49.8228034718369	42.8223933691581	82.0
42	482.7578125	481.69921875	88.6158485412598	50.0548802961511	42.8966098676828	-
43	460.90625	503.55078125	88.7624320983887	47.7891948594781	42.9675671260816	-
44	481.9609375	482.49609375	88.9014625549316	49.9722560864476	43.0348681264357	-
45	482.828125	481.62890625	89.0480499267578	50.0621706675955	43.1058272314295	-
46	482.79296875	481.6640625	89.1900367736816	50.0585254818733	43.174559342887	82.0
47	465.03515625	499.421875	89.3478622436523	48.2173016715202	43.2509585166687	-
48	465.390625	499.06640625	89.4901885986328	48.2541585493781	43.3198549750786	-
49	484.14453125	480.3125	89.636302947998	50.1986626218606	43.3905851022959	-
50	466.51953125	497.9375	89.7699775695801	48.3712095131247	43.4552934833091	-
51	467.95703125	496.5	89.9303092956543	48.5202571070996	43.5329058699875	82.0
52	487.5625	476.89453125	90.0611038208008	50.5530556781868	43.5962200717967	-
53	469.375	495.08203125	90.241138458252	48.6672795978955	43.6833701215061	-
54	487.671875	476.78515625	90.3647727966309	50.5643962559892	43.7432182645527	-
55	469.359375	495.09765625	90.5088958740234	48.6656595153523	43.8129844691945	-
56	469.55859375	494.8984375	90.6861610412598	48.6863155677782	43.8987938909542	83.0
57	469.41015625	495.046875	90.8428344726562	48.6709247836177	43.9746353930543	-
58	488.578125	475.87890625	90.9553298950195	50.6583610434952	44.0290914787822	-
59	470.38671875	494.0703125	91.1076507568359	48.7721799425681	44.1028260160192	-
60	487.96484375	476.4921875	91.2545318603516	50.5947728036743	44.1739273088259	-
61	488.3046875	476.15234375	91.388801574707	50.6300095989891	44.2389237586547	83.0
62	469.98828125	494.46875	91.567081451416	48.7308678377163	44.3252243746769	-
63	488.46484375	475.9921875	91.7675743103027	50.6466154450569	44.4222777132218	-
64	488.89453125	475.5625	91.9124984741211	50.6911677149951	44.4924317028078	-
65	489.01171875	475.4453125	92.0516777038574	50.7033183340691	44.5598047203658	-
66	490.48046875	473.9765625	92.1823692321777	50.8556060931304	44.6230690641108	83.0
67	470.84765625	493.609375	92.3453979492188	48.8199723775926	44.7019869934345	-
68	470.87890625	493.578125	92.4842987060547	48.8232125426791	44.7692252095594	-
69	470.6640625	493.79296875	92.6304740905762	48.80093640771	44.8399848822963	-
70	471.01171875	493.4453125	92.8041343688965	48.8369832442963	44.9240492718073	-
71	489.65234375	474.8046875	92.9028205871582	50.7697417183405	44.9718206837361	83.0
72	489.1640625	475.29296875	93.0551910400391	50.7191141388654	45.0455792267077	-
73	470.75	493.70703125	93.2193603515625	48.8098468616976	45.1250492879281	-
74	471.16015625	493.296875	93.3942451477051	48.8523740284568	45.2097064344251	-
75	470.66015625	493.796875	93.5309371948242	48.8005313870742	45.2758754720612	-
76	489.11328125	475.34375	93.6749839782715	50.7138488706	45.3456047448036	83.0
77	489.0859375	475.37109375	93.8404884338379	50.7110137261493	45.4257211142642	-
78	470.578125	493.87890625	94.012378692627	48.7920259537223	45.5089286837081	-
79	489.17578125	475.28125	94.1235237121582	50.7203292007728	45.562731074816	-
80	489.1640625	475.29296875	94.2763328552246	50.7191141388654	45.6367019762093	-
81	470.703125	493.75390625	94.4326820373535	48.804986614068	45.7123865177368	83.0
82	489.3125	475.14453125	94.5866470336914	50.7345049230258	45.7869169374067	-
83	489.3203125	475.13671875	94.7099189758301	50.7353149642974	45.8465896539309	-
84	489.2265625	475.23046875	94.8770751953125	50.7255944690382	45.9275055990145	-
85	488.99609375	475.4609375	95.0211143493652	50.7016982515259	45.9972311785669	-
86	470.72265625	493.734375	95.1546592712402	48.807011717247	46.061876775351	83.0
87	489.09765625	475.359375	95.2821273803711	50.7122287880567	46.1235807463446	-
88	470.515625	493.94140625	95.4488143920898	48.7855456235495	46.2042695602465	-
89	489.39453125	475.0625	95.5787239074707	50.7430103563777	46.2671553520222	-
90	470.796875	493.66015625	95.7477226257324	48.8147071093272	46.3489632024773	-
91	470.9453125	493.51171875	95.8768768310547	48.8300978934877	46.4114833684485	83.0
92	489.13671875	475.3203125	96.0122375488281	50.7162789944148	46.4770079444394	-
93	489.046875	475.41015625	96.1801338195801	50.7069635197913	46.5582821289475	-
94	471.1171875	493.33984375	96.3139228820801	48.8479188014629	46.6230459078098	-
95	471.2734375	493.18359375	96.4370384216309	48.864119626895	46.6826429139402	-
96	470.890625	493.56640625	96.6052742004395	48.8244276045865	46.7640814454008	83.0
97	470.94921875	493.5078125	96.7497215270996	48.8305029141235	46.8340046106153	-
98	470.76171875	493.6953125	96.8950271606445	48.811061923605	46.9043432596985	-
99	470.82421875	493.6328125	97.0385932922363	48.8175422537778	46.9738398614744	-
100	471.2734375	493.18359375	97.2050170898438	48.864119626895	47.0544012603232	-
101	489.85546875	474.6015625	97.3170928955078	50.7908027914022	47.1086542206042	83.0
102	471.29296875	493.1640625	97.5043258666992	48.866144730074	47.1992887950261	-
103	489.75	474.70703125	97.6224555969238	50.7798672342356	47.2564723015278	-
104	471.5078125	492.94921875	97.766960144043	48.8884208650431	47.3264231656669	-
105	490.0546875	474.40234375	97.9021301269531	50.8114588438281	47.3918554119091	-
106	488.8515625	475.60546875	98.0410079956055	50.6867124880013	47.4590825484643	83.0
107	471.5234375	492.93359375	98.2138862609863	48.8900409475863	47.542768386006	-
108	471.6171875	492.83984375	98.3558654785156	48.8997614428455	47.6114968042735	-
109	489.68359375	474.7734375	98.4937019348145	50.772981883427	47.6782198204013	-
110	489.984375	474.47265625	98.6377639770508	50.8041684723837	47.7479564795236	-
111	489.97265625	474.484375	98.7833786010742	50.8029534104763	47.8184447027995	83.0
112	489.7421875	474.71484375	98.9563179016113	50.779057192964	47.9021600858608	-
113	489.71484375	474.7421875	99.0838394165039	50.7762220485134	47.9638899091839	-
114	489.68359375	474.7734375	99.220817565918	50.772981883427	48.030197441443	-
115	471.41796875	493.0390625	99.401123046875	48.8791053904196	48.1174785993954	-
116	471.33203125	493.125	99.5366401672363	48.870194936432	48.1830788857801	83.0
117	471.359375	493.09765625	99.7409629821777	48.8730300808826	48.281986205677	-
118	489.8125	474.64453125	99.8582725524902	50.7863475644084	48.3387726942598	-
119	489.9453125	474.51171875	99.9815940856934	50.8001182660257	48.3984694165186	-
120	489.58984375	474.8671875	100.146678924561	50.7632613881677	48.4783826605323	-
121	471.19140625	493.265625	100.30309677124	48.8556141935432	48.5541004407693	83.0
122	496.7265625	467.73046875	100.414268493652	51.5032340897769	48.6079157580419	-
123	489.875	474.58203125	100.561534881592	50.7928278945812	48.6792035569408	-
124	489.68359375	474.7734375	100.72282409668	50.772981883427	48.7572794389572	-
125	489.69140625	474.765625	100.880702972412	50.7737919246986	48.8337044650685	-
126	471.2421875	493.21484375	101.011157989502	48.8608794618086	48.8968543199252	83.0
127	471.234375	493.22265625	101.173885345459	48.860069420537	48.9756263682461	-
128	471.3671875	493.08984375	101.33224105835	48.8738401221542	49.0522822187289	-
